iteration,step,event,timestamp_iso,timestamp_unix
1,pick,start,2025-10-28T14:43:30,1761659010.710
1,pick,end,2025-10-28T14:43:39,1761659019.966
1,walk_to_wall,start,2025-10-28T14:43:39,1761659019.966
1,walk_to_wall,end,2025-10-28T14:43:55,1761659035.482
1,place,start,2025-10-28T14:43:55,1761659035.482
1,place,end,2025-10-28T14:44:05,1761659045.374
1,walk_to_source,start,2025-10-28T14:44:05,1761659045.374
1,walk_to_source,end,2025-10-28T14:44:20,1761659060.886
2,pick,start,2025-10-28T14:44:20,1761659060.886
2,pick,end,2025-10-28T14:44:30,1761659070.689
2,walk_to_wall,start,2025-10-28T14:44:30,1761659070.701
2,walk_to_wall,end,2025-10-28T14:44:46,1761659086.346
2,place,start,2025-10-28T14:44:46,1761659086.346
2,place,end,2025-10-28T14:44:56,1761659096.281
2,walk_to_source,start,2025-10-28T14:44:56,1761659096.283
2,walk_to_source,end,2025-10-28T14:45:12,1761659112.786
