iteration,step,event,timestamp_iso,timestamp_unix
1,pick,start,2025-10-30T18:16:49,1761844609.615
1,pick,end,2025-10-30T18:16:59,1761844619.724
1,walk_to_wall,start,2025-10-30T18:16:59,1761844619.725
1,walk_to_wall,end,2025-10-30T18:17:13,1761844633.601
1,place,start,2025-10-30T18:17:13,1761844633.602
1,place,end,2025-10-30T18:17:24,1761844644.581
1,walk_to_source,start,2025-10-30T18:17:24,1761844644.582
1,walk_to_source,end,2025-10-30T18:17:42,1761844662.138
2,pick,start,2025-10-30T18:17:42,1761844662.140
2,pick,end,2025-10-30T18:17:52,1761844672.327
2,walk_to_wall,start,2025-10-30T18:17:52,1761844672.370
