iteration,step,event,timestamp_iso,timestamp_unix
1,pick,start,2025-10-30T18:34:33,1761845673.941
1,pick,end,2025-10-30T18:34:44,1761845684.686
1,walk_to_wall,start,2025-10-30T18:34:44,1761845684.688
1,walk_to_wall,end,2025-10-30T18:34:59,1761845699.928
1,place,start,2025-10-30T18:34:59,1761845699.929
1,place,end,2025-10-30T18:35:09,1761845709.007
1,walk_to_source,start,2025-10-30T18:35:09,1761845709.009
1,walk_to_source,end,2025-10-30T18:35:21,1761845721.729
2,pick,start,2025-10-30T18:35:21,1761845721.730
2,pick,end,2025-10-30T18:35:31,1761845731.140
2,walk_to_wall,start,2025-10-30T18:35:31,1761845731.182
2,walk_to_wall,end,2025-10-30T18:35:45,1761845745.359
2,place,start,2025-10-30T18:35:45,1761845745.361
2,place,end,2025-10-30T18:35:55,1761845755.315
2,walk_to_source,start,2025-10-30T18:35:55,1761845755.318
2,walk_to_source,end,2025-10-30T18:36:08,1761845768.070
3,pick,start,2025-10-30T18:36:08,1761845768.072
3,pick,end,2025-10-30T18:36:17,1761845777.654
3,walk_to_wall,start,2025-10-30T18:36:17,1761845777.655
3,walk_to_wall,end,2025-10-30T18:36:32,1761845792.497
3,place,start,2025-10-30T18:36:32,1761845792.497
3,place,end,2025-10-30T18:36:42,1761845802.628
3,walk_to_source,start,2025-10-30T18:36:42,1761845802.629
3,walk_to_source,end,2025-10-30T18:36:55,1761845815.768
4,pick,start,2025-10-30T18:36:55,1761845815.769
4,pick,end,2025-10-30T18:37:05,1761845825.667
4,walk_to_wall,start,2025-10-30T18:37:05,1761845825.668
4,walk_to_wall,end,2025-10-30T18:37:19,1761845839.558
4,place,start,2025-10-30T18:37:19,1761845839.559
4,place,end,2025-10-30T18:37:29,1761845849.719
4,walk_to_source,start,2025-10-30T18:37:29,1761845849.720
4,walk_to_source,end,2025-10-30T18:37:43,1761845863.688
5,pick,start,2025-10-30T18:37:43,1761845863.689
5,pick,end,2025-10-30T18:37:53,1761845873.670
5,walk_to_wall,start,2025-10-30T18:37:53,1761845873.671
5,walk_to_wall,end,2025-10-30T18:38:07,1761845887.768
5,place,start,2025-10-30T18:38:07,1761845887.769
5,place,end,2025-10-30T18:38:17,1761845897.320
5,walk_to_source,start,2025-10-30T18:38:17,1761845897.321
5,walk_to_source,end,2025-10-30T18:38:30,1761845910.187
6,pick,start,2025-10-30T18:38:30,1761845910.188
6,pick,end,2025-10-30T18:38:40,1761845920.098
6,walk_to_wall,start,2025-10-30T18:38:40,1761845920.099
6,walk_to_wall,end,2025-10-30T18:38:53,1761845933.994
6,place,start,2025-10-30T18:38:53,1761845933.995
6,place,end,2025-10-30T18:39:03,1761845943.534
6,walk_to_source,start,2025-10-30T18:39:03,1761845943.535
6,walk_to_source,end,2025-10-30T18:39:16,1761845956.492
7,pick,start,2025-10-30T18:39:16,1761845956.493
7,pick,end,2025-10-30T18:39:25,1761845965.901
7,walk_to_wall,start,2025-10-30T18:39:25,1761845965.902
7,walk_to_wall,end,2025-10-30T18:39:39,1761845979.742
7,place,start,2025-10-30T18:39:39,1761845979.743
7,place,end,2025-10-30T18:39:49,1761845989.746
7,walk_to_source,start,2025-10-30T18:39:49,1761845989.747
7,walk_to_source,end,2025-10-30T18:40:02,1761846002.610
8,pick,start,2025-10-30T18:40:02,1761846002.612
8,pick,end,2025-10-30T18:40:13,1761846013.202
8,walk_to_wall,start,2025-10-30T18:40:13,1761846013.203
8,walk_to_wall,end,2025-10-30T18:40:28,1761846028.871
8,place,start,2025-10-30T18:40:28,1761846028.872
8,place,end,2025-10-30T18:40:39,1761846039.255
8,walk_to_source,start,2025-10-30T18:40:39,1761846039.256
8,walk_to_source,end,2025-10-30T18:40:54,1761846054.138
9,pick,start,2025-10-30T18:40:54,1761846054.139
9,pick,end,2025-10-30T18:41:05,1761846065.001
9,walk_to_wall,start,2025-10-30T18:41:05,1761846065.003
9,walk_to_wall,end,2025-10-30T18:41:20,1761846080.870
9,place,start,2025-10-30T18:41:20,1761846080.871
9,place,end,2025-10-30T18:41:31,1761846091.999
9,walk_to_source,start,2025-10-30T18:41:32,1761846092.000
9,walk_to_source,end,2025-10-30T18:41:45,1761846105.817
10,pick,start,2025-10-30T18:41:45,1761846105.818
10,pick,end,2025-10-30T18:41:55,1761846115.276
10,walk_to_wall,start,2025-10-30T18:41:55,1761846115.277
10,walk_to_wall,end,2025-10-30T18:42:09,1761846129.377
10,place,start,2025-10-30T18:42:09,1761846129.379
10,place,end,2025-10-30T18:42:18,1761846138.719
10,walk_to_source,start,2025-10-30T18:42:18,1761846138.720
10,walk_to_source,end,2025-10-30T18:42:23,1761846143.306
