iteration,step,event,timestamp_iso,timestamp_unix
1,pick,start,2025-10-28T19:04:45,1761674685.203
1,pick,end,2025-10-28T19:04:54,1761674694.126
1,walk_to_wall,start,2025-10-28T19:04:54,1761674694.126
1,walk_to_wall,end,2025-10-28T19:05:16,1761674716.799
1,place,start,2025-10-28T19:05:16,1761674716.799
1,place,end,2025-10-28T19:05:27,1761674727.063
1,walk_to_source,start,2025-10-28T19:05:27,1761674727.063
1,walk_to_source,end,2025-10-28T19:05:43,1761674743.676
2,pick,start,2025-10-28T19:05:43,1761674743.678
2,pick,end,2025-10-28T19:05:53,1761674753.131
2,walk_to_wall,start,2025-10-28T19:05:53,1761674753.141
2,walk_to_wall,end,2025-10-28T19:06:08,1761674768.815
2,place,start,2025-10-28T19:06:08,1761674768.815
2,place,end,2025-10-28T19:06:18,1761674778.761
2,walk_to_source,start,2025-10-28T19:06:18,1761674778.761
2,walk_to_source,end,2025-10-28T19:06:36,1761674796.359
3,pick,start,2025-10-28T19:06:36,1761674796.359
3,pick,end,2025-10-28T19:06:45,1761674805.598
3,walk_to_wall,start,2025-10-28T19:06:45,1761674805.598
3,walk_to_wall,end,2025-10-28T19:07:02,1761674822.168
3,place,start,2025-10-28T19:07:02,1761674822.168
3,place,end,2025-10-28T19:07:12,1761674832.523
3,walk_to_source,start,2025-10-28T19:07:12,1761674832.525
3,walk_to_source,end,2025-10-28T19:07:28,1761674848.924
4,pick,start,2025-10-28T19:07:28,1761674848.924
4,pick,end,2025-10-28T19:07:38,1761674858.668
4,walk_to_wall,start,2025-10-28T19:07:38,1761674858.668
4,walk_to_wall,end,2025-10-28T19:07:54,1761674874.228
4,place,start,2025-10-28T19:07:54,1761674874.228
4,place,end,2025-10-28T19:08:03,1761674883.957
4,walk_to_source,start,2025-10-28T19:08:03,1761674883.957
4,walk_to_source,end,2025-10-28T19:08:19,1761674899.397
5,pick,start,2025-10-28T19:08:19,1761674899.397
5,pick,end,2025-10-28T19:08:28,1761674908.901
5,walk_to_wall,start,2025-10-28T19:08:28,1761674908.901
5,walk_to_wall,end,2025-10-28T19:08:44,1761674924.510
5,place,start,2025-10-28T19:08:44,1761674924.510
5,place,end,2025-10-28T19:08:53,1761674933.407
5,walk_to_source,start,2025-10-28T19:08:53,1761674933.407
5,walk_to_source,end,2025-10-28T19:09:08,1761674948.868
6,pick,start,2025-10-28T19:09:08,1761674948.872
6,pick,end,2025-10-28T19:09:18,1761674958.727
6,walk_to_wall,start,2025-10-28T19:09:18,1761674958.727
6,walk_to_wall,end,2025-10-28T19:09:34,1761674974.327
6,place,start,2025-10-28T19:09:34,1761674974.327
6,place,end,2025-10-28T19:09:44,1761674984.609
6,walk_to_source,start,2025-10-28T19:09:44,1761674984.609
6,walk_to_source,end,2025-10-28T19:10:01,1761675001.127
7,pick,start,2025-10-28T19:10:01,1761675001.127
7,pick,end,2025-10-28T19:10:10,1761675010.554
7,walk_to_wall,start,2025-10-28T19:10:10,1761675010.554
7,walk_to_wall,end,2025-10-28T19:10:26,1761675026.024
7,place,start,2025-10-28T19:10:26,1761675026.024
7,place,end,2025-10-28T19:10:36,1761675036.191
7,walk_to_source,start,2025-10-28T19:10:36,1761675036.191
7,walk_to_source,end,2025-10-28T19:10:52,1761675052.753
8,pick,start,2025-10-28T19:10:52,1761675052.753
8,pick,end,2025-10-28T19:11:02,1761675062.603
8,walk_to_wall,start,2025-10-28T19:11:02,1761675062.603
8,walk_to_wall,end,2025-10-28T19:11:19,1761675079.159
8,place,start,2025-10-28T19:11:19,1761675079.159
8,place,end,2025-10-28T19:11:27,1761675087.702
