iteration,step,event,timestamp_iso,timestamp_unix
1,pick,start,2025-10-28T14:57:10,1761659830.761
1,pick,end,2025-10-28T14:57:20,1761659840.341
1,walk_to_wall,start,2025-10-28T14:57:20,1761659840.341
1,walk_to_wall,end,2025-10-28T14:57:35,1761659855.847
1,place,start,2025-10-28T14:57:35,1761659855.847
1,place,end,2025-10-28T14:57:46,1761659866.102
1,walk_to_source,start,2025-10-28T14:57:46,1761659866.102
1,walk_to_source,end,2025-10-28T14:58:02,1761659882.770
2,pick,start,2025-10-28T14:58:02,1761659882.770
2,pick,end,2025-10-28T14:58:12,1761659892.262
2,walk_to_wall,start,2025-10-28T14:58:12,1761659892.275
2,walk_to_wall,end,2025-10-28T14:58:27,1761659907.822
2,place,start,2025-10-28T14:58:27,1761659907.836
2,place,end,2025-10-28T14:58:38,1761659918.274
2,walk_to_source,start,2025-10-28T14:58:38,1761659918.274
2,walk_to_source,end,2025-10-28T14:58:55,1761659935.960
3,pick,start,2025-10-28T14:58:55,1761659935.960
3,pick,end,2025-10-28T14:59:05,1761659945.466
3,walk_to_wall,start,2025-10-28T14:59:05,1761659945.469
3,walk_to_wall,end,2025-10-28T14:59:21,1761659961.111
3,place,start,2025-10-28T14:59:21,1761659961.111
3,place,end,2025-10-28T14:59:31,1761659971.180
3,walk_to_source,start,2025-10-28T14:59:31,1761659971.180
3,walk_to_source,end,2025-10-28T14:59:47,1761659987.720
4,pick,start,2025-10-28T14:59:47,1761659987.729
4,pick,end,2025-10-28T14:59:57,1761659997.128
4,walk_to_wall,start,2025-10-28T14:59:57,1761659997.138
4,walk_to_wall,end,2025-10-28T15:00:12,1761660012.632
4,place,start,2025-10-28T15:00:12,1761660012.632
4,place,end,2025-10-28T15:00:23,1761660023.020
4,walk_to_source,start,2025-10-28T15:00:23,1761660023.020
4,walk_to_source,end,2025-10-28T15:00:39,1761660039.558
5,pick,start,2025-10-28T15:00:39,1761660039.558
5,pick,end,2025-10-28T15:00:48,1761660048.780
5,walk_to_wall,start,2025-10-28T15:00:48,1761660048.780
5,walk_to_wall,end,2025-10-28T15:01:04,1761660064.351
5,place,start,2025-10-28T15:01:04,1761660064.351
5,place,end,2025-10-28T15:01:14,1761660074.012
5,walk_to_source,start,2025-10-28T15:01:14,1761660074.012
5,walk_to_source,end,2025-10-28T15:01:29,1761660089.834
6,pick,start,2025-10-28T15:01:29,1761660089.834
6,pick,end,2025-10-28T15:01:39,1761660099.267
6,walk_to_wall,start,2025-10-28T15:01:39,1761660099.267
6,walk_to_wall,end,2025-10-28T15:01:54,1761660114.830
6,place,start,2025-10-28T15:01:54,1761660114.830
6,place,end,2025-10-28T15:02:05,1761660125.101
6,walk_to_source,start,2025-10-28T15:02:05,1761660125.101
6,walk_to_source,end,2025-10-28T15:02:21,1761660141.849
7,pick,start,2025-10-28T15:02:21,1761660141.849
7,pick,end,2025-10-28T15:02:31,1761660151.383
7,walk_to_wall,start,2025-10-28T15:02:31,1761660151.383
7,walk_to_wall,end,2025-10-28T15:02:46,1761660166.983
7,place,start,2025-10-28T15:02:46,1761660166.983
7,place,end,2025-10-28T15:02:57,1761660177.113
7,walk_to_source,start,2025-10-28T15:02:57,1761660177.113
7,walk_to_source,end,2025-10-28T15:03:13,1761660193.666
8,pick,start,2025-10-28T15:03:13,1761660193.666
8,pick,end,2025-10-28T15:03:23,1761660203.593
8,walk_to_wall,start,2025-10-28T15:03:23,1761660203.593
8,walk_to_wall,end,2025-10-28T15:03:40,1761660220.222
8,place,start,2025-10-28T15:03:40,1761660220.222
8,place,end,2025-10-28T15:03:49,1761660229.179
8,walk_to_source,start,2025-10-28T15:03:49,1761660229.179
8,walk_to_source,end,2025-10-28T15:04:04,1761660244.713
9,pick,start,2025-10-28T15:04:04,1761660244.713
9,pick,end,2025-10-28T15:04:14,1761660254.036
9,walk_to_wall,start,2025-10-28T15:04:14,1761660254.036
9,walk_to_wall,end,2025-10-28T15:04:29,1761660269.638
9,place,start,2025-10-28T15:04:29,1761660269.638
9,place,end,2025-10-28T15:04:39,1761660279.596
9,walk_to_source,start,2025-10-28T15:04:39,1761660279.596
9,walk_to_source,end,2025-10-28T15:04:56,1761660296.421
10,pick,start,2025-10-28T15:04:56,1761660296.421
10,pick,end,2025-10-28T15:05:06,1761660306.293
10,walk_to_wall,start,2025-10-28T15:05:06,1761660306.293
10,walk_to_wall,end,2025-10-28T15:05:21,1761660321.986
10,place,start,2025-10-28T15:05:21,1761660321.986
10,place,end,2025-10-28T15:05:31,1761660331.448
10,walk_to_source,start,2025-10-28T15:05:31,1761660331.448
10,walk_to_source,end,2025-10-28T15:05:47,1761660347.134
11,pick,start,2025-10-28T15:05:47,1761660347.135
11,pick,end,2025-10-28T15:05:56,1761660356.557
11,walk_to_wall,start,2025-10-28T15:05:56,1761660356.557
11,walk_to_wall,end,2025-10-28T15:06:12,1761660372.095
11,place,start,2025-10-28T15:06:12,1761660372.095
11,place,end,2025-10-28T15:06:21,1761660381.717
11,walk_to_source,start,2025-10-28T15:06:21,1761660381.717
11,walk_to_source,end,2025-10-28T15:06:38,1761660398.200
12,pick,start,2025-10-28T15:06:38,1761660398.200
12,pick,end,2025-10-28T15:06:47,1761660407.783
12,walk_to_wall,start,2025-10-28T15:06:47,1761660407.783
12,walk_to_wall,end,2025-10-28T15:07:03,1761660423.314
12,place,start,2025-10-28T15:07:03,1761660423.315
12,place,end,2025-10-28T15:07:11,1761660431.588
12,walk_to_source,start,2025-10-28T15:07:11,1761660431.588
12,walk_to_source,end,2025-10-28T15:07:27,1761660447.267
13,pick,start,2025-10-28T15:07:27,1761660447.267
13,pick,end,2025-10-28T15:07:37,1761660457.034
13,walk_to_wall,start,2025-10-28T15:07:37,1761660457.034
13,walk_to_wall,end,2025-10-28T15:07:52,1761660472.630
13,place,start,2025-10-28T15:07:52,1761660472.630
13,place,end,2025-10-28T15:08:02,1761660482.312
13,walk_to_source,start,2025-10-28T15:08:02,1761660482.313
13,walk_to_source,end,2025-10-28T15:08:17,1761660497.865
14,pick,start,2025-10-28T15:08:17,1761660497.866
14,pick,end,2025-10-28T15:08:28,1761660508.063
14,walk_to_wall,start,2025-10-28T15:08:28,1761660508.063
14,walk_to_wall,end,2025-10-28T15:08:43,1761660523.601
14,place,start,2025-10-28T15:08:43,1761660523.601
14,place,end,2025-10-28T15:08:52,1761660532.391
14,walk_to_source,start,2025-10-28T15:08:52,1761660532.391
14,walk_to_source,end,2025-10-28T15:09:08,1761660548.016
