iteration,step,event,timestamp_iso,timestamp_unix
1,pick,start,2025-10-28T16:13:31,1761664411.700
1,pick,end,2025-10-28T16:13:40,1761664420.583
1,walk_to_wall,start,2025-10-28T16:13:40,1761664420.583
1,walk_to_wall,end,2025-10-28T16:13:57,1761664437.585
1,place,start,2025-10-28T16:13:57,1761664437.585
1,place,end,2025-10-28T16:14:07,1761664447.273
1,walk_to_source,start,2025-10-28T16:14:07,1761664447.273
1,walk_to_source,end,2025-10-28T16:14:24,1761664464.048
2,pick,start,2025-10-28T16:14:24,1761664464.064
2,pick,end,2025-10-28T16:14:33,1761664473.583
2,walk_to_wall,start,2025-10-28T16:14:33,1761664473.583
2,walk_to_wall,end,2025-10-28T16:14:50,1761664490.202
2,place,start,2025-10-28T16:14:50,1761664490.202
2,place,end,2025-10-28T16:15:00,1761664500.490
2,walk_to_source,start,2025-10-28T16:15:00,1761664500.490
2,walk_to_source,end,2025-10-28T16:15:17,1761664517.173
3,pick,start,2025-10-28T16:15:17,1761664517.173
3,pick,end,2025-10-28T16:15:26,1761664526.205
3,walk_to_wall,start,2025-10-28T16:15:26,1761664526.205
3,walk_to_wall,end,2025-10-28T16:15:41,1761664541.960
3,place,start,2025-10-28T16:15:41,1761664541.960
3,place,end,2025-10-28T16:15:52,1761664552.323
3,walk_to_source,start,2025-10-28T16:15:52,1761664552.323
3,walk_to_source,end,2025-10-28T16:16:08,1761664568.892
4,pick,start,2025-10-28T16:16:08,1761664568.892
4,pick,end,2025-10-28T16:16:18,1761664578.570
4,walk_to_wall,start,2025-10-28T16:16:18,1761664578.570
4,walk_to_wall,end,2025-10-28T16:16:34,1761664594.176
4,place,start,2025-10-28T16:16:34,1761664594.176
4,place,end,2025-10-28T16:16:43,1761664603.831
4,walk_to_source,start,2025-10-28T16:16:43,1761664603.831
4,walk_to_source,end,2025-10-28T16:16:59,1761664619.442
5,pick,start,2025-10-28T16:16:59,1761664619.442
5,pick,end,2025-10-28T16:17:08,1761664628.948
5,walk_to_wall,start,2025-10-28T16:17:08,1761664628.948
5,walk_to_wall,end,2025-10-28T16:17:24,1761664644.712
5,place,start,2025-10-28T16:17:24,1761664644.712
5,place,end,2025-10-28T16:17:34,1761664654.683
5,walk_to_source,start,2025-10-28T16:17:34,1761664654.683
